OrderID,CustomerID,Date,City,Category,Product,Price,Quantity,Discount,Payment,Revenue
1,452,2025-11-24,Kazan,Smartphone,Samsung Galaxy S24,74990,1,10,Card,67491.0
2,43,2025-05-06,Moscow,Laptop,MacBook Air M3,139990,1,0,Card,139990.0
3,431,2025-12-13,Moscow,Tablet,iPad Air,69990,1,0,Card,69990.0
4,192,2025-01-17,Samara,Smartphone,iPhone 15,89990,1,0,Card,89990.0
5,94,2025-09-16,Kazan,Monitor,LG UltraWide,34990,1,0,Card,34990.0
6,488,2025-11-29,Moscow,Tablet,iPad Air,69990,1,25,Card,52492.5
7,180,2025-10-29,Moscow,Laptop,Lenovo IdeaPad,69990,1,0,SBP,69990.0
8,298,2025-03-23,Moscow,Tablet,iPad Air,69990,1,10,Card,62991.0
9,1,2025-03-21,Saint Petersburg,Laptop,MacBook Air M3,139990,1,5,Card,132990.5
10,387,2025-07-14,Moscow,Smartphone,Samsung Galaxy S24,74990,1,5,SBP,71240.5
11,252,2025-11-06,Saint Petersburg,Laptop,Lenovo IdeaPad,69990,1,10,Card,62991.0
12,287,2025-10-02,Saint Petersburg,Smartphone,Samsung Galaxy S24,74990,1,10,Card,67491.0
13,104,2025-05-31,Kazan,Smartwatch,Apple Watch,49990,1,0,SBP,49990.0
14,136,2025-01-24,Saint Petersburg,Monitor,Samsung Odyssey,45990,1,0,SBP,45990.0
15,242,2025-02-10,Voronezh,Smartwatch,Apple Watch,49990,1,0,Card,49990.0
16,468,2025-08-21,Samara,Monitor,Samsung Odyssey,45990,1,5,Card,43690.5
17,411,2025-07-01,Saint Petersburg,Laptop,MacBook Air M3,139990,1,5,Card,132990.5
18,472,2025-12-16,Voronezh,Monitor,Samsung Odyssey,45990,1,0,SBP,45990.0
19,235,2025-03-29,Moscow,Headphones,JBL Tune,4990,1,0,Card,4990.0
20,264,2025-05-19,Kazan,Smartwatch,Galaxy Watch,32990,1,5,SBP,31340.5
21,317,2025-01-29,Saint Petersburg,Laptop,MacBook Air M3,139990,1,0,SBP,139990.0
22,117,2025-07-25,Yekaterinburg,Laptop,Lenovo IdeaPad,69990,1,0,Card,69990.0
23,2,2025-10-18,Voronezh,Smartwatch,Galaxy Watch,32990,1,0,SBP,32990.0
24,294,2025-07-22,Saint Petersburg,Smartwatch,Galaxy Watch,32990,2,0,Card,65980.0
